# Ten-channel resonant ladder, W/L = 1000, L = 1 um, VDD = 5 V
# SMALL-SIGNAL run: drive 0.03 V RMS, chosen to keep the cross-coupled pairs
# linear.  At 1 V RMS the pairs intermodulate and, because the channel ladder
# is arithmetic, every sum of two channels lands on another channel.
# Excitation: white noise, new value every 0.5 ns (flat well past 200 MHz)
# Uniform sampling 500 ps (ngspice 'linearize'), 190 us total
# vin  = v(n05) - v(actm)   vout = v(actp) - v(actm)
#
# time[s]            vin[V]               vout[V]
1.990000000e-07 2.286470560e-02 -1.261456380e-02
1.995000000e-07 6.884994690e-03 -4.950203530e-03
2.000000000e-07 -4.759416870e-02 -9.735413820e-03
2.005000000e-07 -7.864948110e-03 -1.450407200e-02
2.010000000e-07 -1.792909090e-03 -1.160232820e-02
2.015000000e-07 9.197442460e-04 -8.258867070e-03
2.020000000e-07 3.906658230e-02 2.255242350e-04
2.025000000e-07 6.475742060e-03 6.551490210e-03
2.030000000e-07 -4.564401330e-02 -1.228500890e-03
2.035000000e-07 4.312565890e-02 -6.011404990e-04
2.040000000e-07 3.475412910e-02 1.056602810e-02
2.045000000e-07 -3.314613980e-02 7.175700000e-03
2.050000000e-07 -4.921357920e-03 -2.024229350e-04
2.055000000e-07 -1.766708900e-02 -3.560068390e-03
2.060000000e-07 3.190130700e-02 -2.491183620e-04
2.065000000e-07 5.528208240e-02 1.235848020e-02
2.070000000e-07 1.906629550e-02 1.910507210e-02
2.075000000e-07 1.785933090e-02 1.886163510e-02
2.080000000e-07 8.654717280e-03 1.714092750e-02
2.085000000e-07 -2.796687170e-02 9.189408890e-03
2.090000000e-07 -3.206830230e-02 -2.034238830e-03
2.095000000e-07 -5.521923700e-02 -1.403971670e-02
2.100000000e-07 -2.440638510e-02 -2.108889730e-02
2.105000000e-07 -2.427680340e-02 -2.190107600e-02
2.110000000e-07 -1.746799440e-02 -2.143846780e-02
2.115000000e-07 4.293730230e-02 -1.116019200e-02
2.120000000e-07 1.397833860e-02 -4.901867120e-05
2.125000000e-07 -9.081749250e-03 4.782711890e-04
2.130000000e-07 5.293562740e-03 -1.739925880e-04
2.135000000e-07 -1.037959240e-02 -1.051878240e-03
2.140000000e-07 -5.126288630e-02 -9.917018360e-03
