topology,d_in_mm,d_out_mm,n,layers,awg,d_wire_mm,l_h,length_m,m_h,k,fom,eta_max,emf_per_sqrtw,r_dc,r_ac,r_skin,r_prox,prox_layers,skin_um,skin_limited,r_ratio,q,l_uh
solenoid,1,27.10914564706907,50,4,8,3.2636432058836338,2.247871514428678e-05,6.780141042443316,6.247593985121612e-09,0.0013093325962182493,1.7632236679867228e-07,4.408058781347136e-08,0.008451944309716035,0.013616101519871028,4.392772357614558,0.12392500812852156,4.268847349486037,4,92.25496965451984,True,322.61601099285616,16.076172542156893,22.47871514428678
solenoid,1,40.163718470603605,50,6,8,3.2636432058836338,0.0001238292889229463,16.322034075390338,1.1340802081157177e-08,0.0010126398300175845,1.0512721629686222e-07,2.6281802692749194e-08,0.007086501830131092,0.03277844392765331,24.27688081176493,0.2983283375382178,23.97855247422671,6,92.25496965451984,True,740.6355489402564,16.024347913388063,123.8292889229463
solenoid,1,53.21829129413814,50,8,8,3.2636432058836338,0.00039769582022120193,29.965142116154258,1.675491029383717e-08,0.0008348136034844365,6.981933513922009e-08,1.7454833175462603e-08,0.005856292783748246,0.06017698076733342,79.78642635778368,0.5476922171782042,79.23873414060547,8,92.25496965451984,True,1325.8629020666167,15.659283467185995,397.6958202212019
solenoid,1,79.32743694120721,50,12,8,3.2636432058836338,0.0019582663432895775,69.55500322113284,2.7986875388603696e-08,0.0006284076421902306,3.7116226781982655e-08,9.279056523293882e-09,0.004291445472061954,0.13968263774238718,418.7603141988285,1.2713016271490478,417.48901257167944,12,92.25496965451984,True,2997.941053856217,14.691160908169685,1958.2663432895774
pancake,1,523.1829129413815,80,1,8,3.2636432058836338,0.0017328567061550124,65.87076753735768,1.1900961882857993e-08,0.00028406888212272703,1.5884356013922613e-10,3.971089003165262e-11,0.00028106848470484276,0.13228383485917514,17693.551909338137,1.2039624767978785,17692.34794686134,80,92.25496965451984,True,133754.45252380296,0.30767874792326166,1732.8567061550123
solenoid,1,7.5272864117672675,80,1,8,3.2636432058836338,2.112536387063118e-08,0.25132741228718347,4.4412858111257605e-10,0.003036194204742887,8.52075083091717e-07,2.1301868001898425e-07,0.001392077376976761,0.0005047239488097097,0.004593673113234486,0.004593673113234486,0.0,1,92.25496965451984,True,9.101357532306011,14.447542588344032,0.021125363870631183
solenoid,1,14.054572823534533,80,2,8,3.2636432058836338,1.5092789021801233e-06,2.1431408277011292,1.9188140752211116e-09,0.0015519262127910167,2.3641289192345344e-07,5.910321599448243e-08,0.005268733799082434,0.004303925670378555,0.30904031933232484,0.03917156631858507,0.26986875301373975,2,92.25496965451984,True,71.80428822441604,15.342786085489234,1.5092789021801232
solenoid,1,27.10914564706907,80,4,8,3.2636432058836338,3.7365097627463695e-05,10.848225667909306,6.291654686850277e-09,0.0010227152731305967,1.1176133612885484e-07,2.794033247088929e-08,0.006975884521171907,0.021785762431793646,7.0284357721832915,0.1982800130056345,6.830155759177657,4,92.25496965451984,True,322.6160109928561,16.701570592945885,37.3650976274637
solenoid,1,40.163718470603605,80,6,8,3.2636432058836338,0.00020946592995974882,26.11525452062454,1.1438135423449677e-08,0.0007852744381415169,6.683717846809505e-08,1.6709294058622732e-08,0.005692840819404741,0.0524455102842453,38.84300929882388,0.47732534006114846,38.36568395876273,6,92.25496965451984,True,740.6355489402563,16.941442967932616,209.46592995974882
solenoid,1,53.21829129413814,80,8,8,3.2636432058836338,0.0006836555964977855,47.944227385846816,1.6926062117339086e-08,0.0006432209296698506,4.4533145645580854e-08,1.1133286163495087e-08,0.004687992722573339,0.09628316922773347,127.65828217245388,0.8763075474851266,126.78197462496875,8,92.25496965451984,True,1325.8629020666167,16.824348275669,683.6555964977855
solenoid,1,79.32743694120721,80,12,8,3.2636432058836338,0.0034643302438595995,111.28800515381253,2.8381118618798066e-08,0.0004791183339635444,2.3855802267082166e-08,5.963950495633129e-09,0.003442015176901064,0.2234922203878195,670.0165027181257,2.0340826034384767,667.9824201146872,12,92.25496965451984,True,2997.9410538562174,16.243651312416883,3464.3302438595992
pancake,1,784.274369412072,120,1,8,3.2636432058836338,0.005836005059659911,148.02073139983938,1.3218851892074162e-08,0.00017193283744513748,3.875781923019821e-11,9.68945480736178e-12,0.00013884072017337644,0.29726008547153676,89464.06942103087,2.7054703179603004,89461.36395071291,120,92.25496965451984,True,300962.26770276297,0.2049353527107774,5836.00505965991
solenoid,1,7.5272864117672675,120,1,8,3.2636432058836338,3.184663164735147e-08,0.3769911184307752,4.4512705749056866e-10,0.0024784214863446453,5.706070722113346e-07,1.426517273537943e-07,0.0013936147782512356,0.0007570859232145645,0.006890509669851729,0.006890509669851729,0.0,1,92.25496965451984,True,9.101357532306011,14.519846690390386,0.031846631647351464
